Stock,Date,Open,High,Low,Close,Volume,Sector,Prev_Close,Daily_Return,Volatility_x,Volatility_y,Volatility,Cumulative_Return
ADANIENT.NS,2024-05-07,2887.31,2902.69,2819.42,2833.36,1262311,Energy,2872.02,-1.3460909046594334,2.835096658318356,2.835096658318356,2.835096658318356,-0.02785011648533342
ADANIENT.NS,2024-05-08,2847.4,2888.26,2817.42,2857.94,951411,Energy,2833.36,0.8675212468588505,2.835096658318356,2.835096658318356,2.835096658318356,-0.019416509694530126
ADANIENT.NS,2024-05-09,2862.18,2881.01,2753.48,2764.12,1485510,Energy,2857.94,-3.2827841032352025,2.835096658318356,2.835096658318356,2.835096658318356,-0.05160694863322701
ADANIENT.NS,2024-05-10,2792.4,2806.43,2757.93,2794.69,2354794,Energy,2764.12,1.1059577731791732,2.835096658318356,2.835096658318356,2.835096658318356,-0.04111812196134512
ADANIENT.NS,2024-05-13,2800.44,2887.36,2787.95,2876.97,3784373,Energy,2794.69,2.944154807867769,2.835096658318356,2.835096658318356,2.835096658318356,-0.012887155047297427
ADANIENT.NS,2024-05-14,2892.3,3043.22,2871.92,3034.77,5725807,Energy,2876.97,5.484937277760984,2.835096658318356,2.835096658318356,2.835096658318356,0.041255365359080365
ADANIENT.NS,2024-05-15,3043.97,3116.0,3034.82,3046.96,1688836,Energy,3034.77,0.40167788662732445,2.835096658318356,2.835096658318356,2.835096658318356,0.045437857905048284
ADANIENT.NS,2024-05-16,3062.2,3074.14,2972.23,3038.87,1835312,Energy,3046.96,-0.2655105416546376,2.835096658318356,2.835096658318356,2.835096658318356,0.04266211018586197
ADANIENT.NS,2024-05-17,3038.27,3088.18,3012.74,3057.7,825436,Energy,3038.87,0.6196382207860135,2.835096658318356,2.835096658318356,2.835096658318356,0.049122843134227434
ADANIENT.NS,2024-05-21,3065.1,3172.1,3031.73,3114.65,3091659,Energy,3057.7,1.8625110377080902,2.835096658318356,2.835096658318356,2.835096658318356,0.06866287188671927
ADANIENT.NS,2024-05-22,3127.09,3142.13,3070.69,3138.08,3371077,Energy,3114.65,0.7522514568249992,2.835096658318356,2.835096658318356,2.835096658318356,0.07670190390903509
ADANIENT.NS,2024-05-23,3153.81,3402.89,3132.68,3384.2,6979082,Energy,3138.08,7.843012287768314,2.835096658318356,2.835096658318356,2.835096658318356,0.1611477665352561
ADANIENT.NS,2024-05-24,3402.89,3454.69,3352.53,3381.86,3473668,Energy,3384.2,-0.06914484959516845,2.835096658318356,2.835096658318356,2.835096658318356,0.1603448926585076
ADANIENT.NS,2024-05-27,3354.93,3354.93,3264.06,3286.04,2582485,Energy,3381.86,-2.8333520607003297,2.835096658318356,2.835096658318356,2.835096658318356,0.1274682367311366
ADANIENT.NS,2024-05-28,3306.63,3326.46,3226.1,3241.09,1621168,Energy,3286.04,-1.3679078769582786,2.835096658318356,2.835096658318356,2.835096658318356,0.11204550991068873
ADANIENT.NS,2024-05-29,3247.03,3319.86,3209.06,3255.82,1910729,Energy,3241.09,0.45447673467876604,2.835096658318356,2.835096658318356,2.835096658318356,0.11709949803227282
ADANIENT.NS,2024-05-30,3251.03,3271.31,3171.6,3191.33,1990208,Energy,3255.82,-1.9807606071588797,2.835096658318356,2.835096658318356,2.835096658318356,0.09497243123248
ADANIENT.NS,2024-05-31,3222.3,3431.31,3222.3,3408.23,6384589,Energy,3191.33,6.7965393738660715,2.835096658318356,2.835096658318356,2.835096658318356,0.16939266365417405
ADANIENT.NS,2024-06-03,3721.6,3740.48,3582.77,3641.92,8511359,Energy,3408.23,6.856638196365856,2.835096658318356,2.835096658318356,2.835096658318356,0.24957368769578636
ADANIENT.NS,2024-06-04,3516.78,3516.78,2731.45,2938.56,20306909,Energy,3641.92,-19.312889904226346,2.835096658318356,2.835096658318356,2.835096658318356,0.00824489711891796
ADANIENT.NS,2024-06-05,3027.23,3147.12,2747.49,3112.5,8778345,Energy,2938.56,5.919225743221172,2.835096658318356,2.835096658318356,2.835096658318356,0.06792518862389474
ADANIENT.NS,2024-06-06,3181.09,3219.45,3134.28,3182.74,5873271,Energy,3112.5,2.25670682730923,2.835096658318356,2.835096658318356,2.835096658318356,0.09202512926612516
ADANIENT.NS,2024-06-07,3167.5,3230.79,3148.72,3216.61,4740455,Energy,3182.74,1.0641774068884153,2.835096658318356,2.835096658318356,2.835096658318356,0.10364621396931928
ADANIENT.NS,2024-06-10,3264.01,3281.4,3202.57,3217.16,4935698,Energy,3216.61,0.01709874681729296,2.835096658318356,2.835096658318356,2.835096658318356,0.10383492364120461
ADANIENT.NS,2024-06-11,3221.05,3262.02,3192.13,3218.31,4173692,Energy,3217.16,0.03574581307737542,2.835096658318356,2.835096658318356,2.835096658318356,0.10422949840969209
ADANIENT.NS,2024-06-12,3221.95,3242.03,3205.07,3216.11,3022477,Energy,3218.31,-0.0683588591527795,2.835096658318356,2.835096658318356,2.835096658318356,0.10347465972215075
ADANIENT.NS,2024-06-13,3227.05,3251.03,3204.32,3221.85,3202978,Energy,3216.11,0.17847648245861558,2.835096658318356,2.835096658318356,2.835096658318356,0.10544410247964509
ADANIENT.NS,2024-06-14,3223.35,3273.33,3219.45,3260.08,4224855,Energy,3221.85,1.1865853469280077,2.835096658318356,2.835096658318356,2.835096658318356,0.11856114021814856
ADANIENT.NS,2024-06-18,3308.31,3343.29,3285.52,3307.36,1755612,Energy,3260.08,1.4502711589899697,2.835096658318356,2.835096658318356,2.835096658318356,0.13478330983040165
ADANIENT.NS,2024-06-19,3312.31,3312.31,3224.65,3260.23,1419264,Energy,3307.36,-1.4250036282714948,2.835096658318356,2.835096658318356,2.835096658318356,0.11861260649229899
ADANIENT.NS,2024-06-20,3262.23,3313.31,3238.34,3257.78,1366545,Energy,3260.23,-0.0751480723752563,2.835096658318356,2.835096658318356,2.835096658318356,0.11777199068117339
ADANIENT.NS,2024-06-21,3263.38,3275.43,3174.78,3187.67,4697655,Energy,3257.78,-2.15207902313846,2.835096658318356,2.835096658318356,2.835096658318356,0.09371665414320662
ADANIENT.NS,2024-06-24,3184.12,3213.16,3133.4,3192.97,3261647,Energy,3187.67,0.16626564230299018,2.835096658318356,2.835096658318356,2.835096658318356,0.09553512916319273
ADANIENT.NS,2024-06-25,3203.11,3206.81,3154.74,3169.48,1694962,Energy,3192.97,-0.7356786941311626,2.835096658318356,2.835096658318356,2.835096658318356,0.08747551063121684
ADANIENT.NS,2024-06-26,3167.43,3186.07,3162.28,3168.88,2142889,Energy,3169.48,-0.01893055012178367,2.835096658318356,2.835096658318356,2.835096658318356,0.08726964553461469
ADANIENT.NS,2024-06-27,3175.38,3200.61,3148.39,3173.53,5114980,Energy,3168.88,0.14673954204640413,2.835096658318356,2.835096658318356,2.835096658318356,0.08886510003328163
ADANIENT.NS,2024-06-28,3188.37,3210.31,3155.39,3175.53,960905,Energy,3173.53,0.06302130435193616,2.835096658318356,2.835096658318356,2.835096658318356,0.08955131702195573
ADANIENT.NS,2024-07-01,3178.32,3191.52,3155.94,3182.17,832170,Energy,3175.53,0.209098953560504,2.835096658318356,2.835096658318356,2.835096658318356,0.09182955742435328
ADANIENT.NS,2024-07-02,3178.23,3206.16,3129.45,3151.59,1490844,Energy,3182.17,-0.9609794574142778,2.835096658318356,2.835096658318356,2.835096658318356,0.0813372996675279
ADANIENT.NS,2024-07-03,3156.39,3192.92,3146.14,3189.32,1152522,Energy,3151.59,1.1971734902065312,2.835096658318356,2.835096658318356,2.835096658318356,0.09428278315886285
ADANIENT.NS,2024-07-04,3190.37,3192.82,3136.45,3142.64,1055391,Energy,3189.32,-1.4636348814167375,2.835096658318356,2.835096658318356,2.835096658318356,0.0782664786432119
ADANIENT.NS,2024-07-05,3142.29,3156.94,3122.35,3146.29,663988,Energy,3142.64,0.11614438815773016,2.835096658318356,2.835096658318356,2.835096658318356,0.07951882464754179
ADANIENT.NS,2024-07-08,3146.29,3156.59,3073.43,3112.01,1155112,Energy,3146.29,-1.0895372009573099,2.835096658318356,2.835096658318356,2.835096658318356,0.06775706546166971
ADANIENT.NS,2024-07-09,3114.36,3156.39,3098.92,3109.16,922403,Energy,3112.01,-0.09158068258136585,2.835096658318356,2.835096658318356,2.835096658318356,0.0667792062528092
ADANIENT.NS,2024-07-10,3118.51,3125.65,3061.83,3094.42,586710,Energy,3109.16,-0.4740830320729645,2.835096658318356,2.835096658318356,2.835096658318356,0.06172178704628184
ADANIENT.NS,2024-07-11,3117.11,3128.2,3072.53,3076.73,899781,Energy,3094.42,-0.5716741748049733,2.835096658318356,2.835096658318356,2.835096658318356,0.055652197781460355
ADANIENT.NS,2024-07-12,3088.42,3097.22,3056.79,3063.88,756036,Energy,3076.73,-0.4176512076132748,2.835096658318356,2.835096658318356,2.835096658318356,0.05124325362922999
ADANIENT.NS,2024-07-15,3064.53,3101.91,3056.79,3088.82,724171,Energy,3063.88,0.8140005483243488,2.835096658318356,2.835096658318356,2.835096658318356,0.05980037947799466
ADANIENT.NS,2024-07-16,3108.41,3136.15,3094.52,3107.71,988357,Energy,3088.82,0.6115604017067965,2.835096658318356,2.835096658318356,2.835096658318356,0.06628169893602043
